
TimeEdit,Linköpings universitet
"Y3.a, CIV ING UTB TEKNISK FYSIK O ELEKTROTEKNIK",2018-07-30 - 2019-07-01,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Lokal,Undervisningstyp,Lärare,Studentgrupp,Fria grupper,Information till student,Studentförening,URL 
2018-09-13,08:15,2018-09-13,10:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-09-13,10:15,2018-09-13,12:00,,BL32,Information,"Elin Önstorp,Per Sandström,Tomas Svensson","Y3,Yi3",,Information om kandidatprojekt,,
2018-09-13,13:15,2018-09-13,15:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-09-13,13:15,2018-09-13,15:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-09-13,15:15,2018-09-13,17:00,TATA77,C2,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-09-14,10:15,2018-09-14,12:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-09-14,10:15,2018-09-14,12:00,TATA77,U15,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-09-17,08:15,2018-09-17,10:00,TDDC76,VAL,Föreläsning,Klas Arvidsson,"FyN3,MAT3,MED3,Y3,Yi3",,"Stoff inför lab 2 (klasser, dynamiskt minne, undantag)",,
2018-09-17,13:15,2018-09-17,15:00,TAMS24,S3,Lektion,Denise Uwamariya,Y3.a,,,,
2018-09-18,08:15,2018-09-18,10:00,TATA77,VAL,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-09-18,10:15,2018-09-18,12:00,TDDC76,VAL,Föreläsning,Klas Arvidsson,"FyN3,MAT3,MED3,Y3,Yi3",,Stoff inför lab 2 (speciella medlemsfunktioner),,
2018-09-18,13:15,2018-09-18,15:00,TFYA43,P42,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-09-18,15:00,2018-09-18,19:00,,,Studentförening,,"MED1,MED2,MED3,Y1,Y2,Y3,Yi1,Yi2,Yi3",,Y-pub i Gasquen,"Y-sektionen, Teknisk Fysik och Elektroteknik",
2018-09-19,08:15,2018-09-19,10:00,TAMS24,A2,Föreläsning,Johan Thim,"MED3,Y3,Yi3",,,,
2018-09-19,10:15,2018-09-19,12:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-09-19,10:15,2018-09-19,12:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-09-19,13:15,2018-09-19,15:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A1,Grupp B1",,,
2018-09-19,13:15,2018-09-19,15:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C1,Grupp D1",,,
2018-09-19,15:15,2018-09-19,17:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A2,Grupp B2",,,
2018-09-19,15:15,2018-09-19,17:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C2,Grupp D2",,,
2018-09-20,08:15,2018-09-20,10:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-09-20,13:15,2018-09-20,15:00,TATA77,VAL,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-09-20,15:15,2018-09-20,17:00,TAMS24,R19,Lektion,Denise Uwamariya,Y3.a,,,,
2018-09-21,08:15,2018-09-21,10:00,TDDC76,R27,Seminarium,Lukas Pohlman,"FyN3,MAT3,MED3,Y3,Yi3",Grupp B,Assistentledd användning av stoff inför lab 2,,
2018-09-21,08:15,2018-09-21,10:00,TDDC76,R36,Seminarium,William Stenberg,"FyN3,MAT3,MED3,Y3,Yi3",Grupp D,Assistentledd användning av stoff inför lab 2,,
2018-09-21,08:15,2018-09-21,10:00,TDDC76,U11,Seminarium,Frida Flodin,"FyN3,MAT3,MED3,Y3,Yi3",Grupp A,Assistentledd användning av stoff inför lab 2,,
2018-09-21,08:15,2018-09-21,10:00,TDDC76,U14,Seminarium,Oskar Holmström,"FyN3,MAT3,MED3,Y3,Yi3",Grupp C,Assistentledd användning av stoff inför lab 2,,
2018-09-21,10:15,2018-09-21,12:00,TATA77,U1,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-09-21,10:15,2018-09-21,12:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-09-21,15:15,2018-09-21,17:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-09-24,08:15,2018-09-24,10:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A1,Grupp B1",,,
2018-09-24,08:15,2018-09-24,10:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C1,Grupp D1",,,
2018-09-24,10:15,2018-09-24,12:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-09-24,15:15,2018-09-24,17:00,TAMS24,R37,Lektion,Denise Uwamariya,Y3.a,,,,
2018-09-25,08:15,2018-09-25,10:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-09-25,08:15,2018-09-25,10:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-09-25,10:15,2018-09-25,12:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A2,Grupp B2",,,
2018-09-25,10:15,2018-09-25,12:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C2,Grupp D2",,,
2018-09-25,13:15,2018-09-25,15:00,TFYA43,E236,Seminarium,,"BME2,FyN2,MSN1,Y3",,,,
2018-09-26,08:15,2018-09-26,10:00,TAMS24,C2,Föreläsning,Johan Thim,"MED3,Y3,Yi3",,,,
2018-09-26,10:15,2018-09-26,12:00,TATA77,C3,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-09-26,13:15,2018-09-26,15:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A1,Grupp B1",,,
2018-09-26,13:15,2018-09-26,15:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C1,Grupp D1",,,
2018-09-26,15:15,2018-09-26,17:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A2,Grupp B2",,,
2018-09-26,15:15,2018-09-26,17:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C2,Grupp D2",,,
2018-09-26,17:00,2018-09-26,19:00,TFYA75,E324,Information,Per Sandström,Y3,,,,
2018-09-27,08:15,2018-09-27,10:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-09-27,13:15,2018-09-27,15:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-09-27,13:15,2018-09-27,15:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-09-27,15:15,2018-09-27,17:00,TATA77,Planck,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-09-28,08:15,2018-09-28,10:00,TDDC76,VAL,Föreläsning,Klas Arvidsson,"FyN3,MAT3,MED3,Y3.a,Y3.b,Y3.c,Yi3",,"Stoff inför lab 3 (objektorientering, arv)",,
